ProfileID,ModelCondition,ModelID,Datatype,WESKit,Product,Stranded,Source,SharedToDbgap
PR-fc5apw,MC-001367-Tnwl,ACH-001367,rna,,,True,BROAD,True
PR-fcB0Un,MC-001799-AkA5,ACH-001799,rna,,,True,BROAD,True
PR-FCFdSX,MC-001751-oEWE,ACH-001751,rna,,,True,BROAD,True
PR-FCs4QQ,MC-000632-Khm1,ACH-000632,wgs,,,,BROAD,
PR-FCTHEg,MC-000303-r1Xf,ACH-000303,rna,,,False,BROAD,
PR-fCUMvS,MC-002095-uEkC,ACH-002095,wes,AGILENT,,,SANGER,
PR-Fd4Uat,MC-002061-Ox3b,ACH-002061,rna,,,True,BROAD,True
PR-fdFrgX,MC-000593-aYaS,ACH-000593,rna,,,False,BROAD,
PR-fDxTMr,MC-002232-9hRd,ACH-002232,wes,AGILENT,,,SANGER,
PR-fEdE5F,MC-000515-cc7O,ACH-000515,wes,AGILENT,,,SANGER,
PR-feKElS,MC-002200-77c1,ACH-002200,wes,AGILENT,,,SANGER,
PR-FeoDhG,MC-000448-6xWU,ACH-000448,wes,AGILENT,,,SANGER,
PR-feSGd6,MC-000327-k5I5,ACH-000327,rna,,,False,BROAD,
PR-FFGmUw,MC-002344-3uAu,ACH-002344,wes,AGILENT,,,SANGER,
PR-fFRxCv,MC-000958-mNiZ,ACH-000958,wes,AGILENT,,,SANGER,
PR-FfTeLb,MC-001481-8jhv,ACH-001481,rna,,,True,BROAD,
PR-Fg5Fny,MC-000495-g0D3,ACH-000495,rna,,,False,BROAD,
PR-FgeHco,MC-000331-G7HH,ACH-000331,wes,AGILENT,,,BROAD,
PR-FGeuv5,MC-000983-OK27,ACH-000983,wes,AGILENT,,,BROAD,
PR-FGHIYf,MC-001494-4tLW,ACH-001494,wes,ICE,,,BROAD,True
PR-FGqCkP,MC-001338-wh8o,ACH-001338,wgs,,,,BROAD,True
PR-fHN7Ap,MC-001375-dtVX,ACH-001375,rna,,,True,BROAD,True
PR-FhsuPc,MC-001863-Q69R,ACH-001863,wgs,,,,BROAD,True
PR-fHu0fE,MC-000576-XM9D,ACH-000576,rna,,,False,BROAD,
PR-fi9A8c,MC-002100-EK8g,ACH-002100,wes,AGILENT,,,SANGER,
PR-fiCrEH,MC-000962-QQUt,ACH-000962,wes,AGILENT,,,SANGER,
PR-fICry6,MC-001841-Na7T,ACH-001841,rna,,,True,BROAD,
PR-fIitxU,MC-000225-leBC,ACH-000225,wes,AGILENT,,,SANGER,
PR-fIob04,MC-001048-JZjh,ACH-001048,rna,,,True,BROAD,
PR-Fit7Mw,MC-000660-y9Pf,ACH-000660,wes,AGILENT,,,BROAD,
PR-fj0xC7,MC-000195-S7vt,ACH-000195,wgs,,,,BROAD,
PR-fJojQL,MC-000628-S5WB,ACH-000628,wes,AGILENT,,,SANGER,
